time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
23:34:28.880924,-1.3877931090332043e-10,0.643985562289729,-0.002620104161475692,-3.1400135842884382,0.9348711062734262,0.001578502734984193,4.0493076950799885e-10,3.270417359274927e-05,3.2120658643129685e-07,-7.0688318246988236e-09,2.368977411246198e-05,-2.8820909730221153e-08,-7.585931573714593e-08,-48.75139019104881,-40.100971016855524,8.079392379753844e-08,0.0004363607794283985,8.451758743896512e-10
23:34:28.885397,-1.3723042792869312e-10,0.6439856865167847,-0.0026201032462698877,-3.14001358431525,0.9348711953062772,0.001578502626469219,3.717319139105546e-10,2.981449334352529e-05,2.1964939309060405e-07,-6.4348992602196605e-09,2.1367884228767897e-05,-2.60435937154594e-08,-7.115580854594464e-08,-48.751629153383,-40.10111606066887,8.068100441871785e-08,0.0004364166696793118,8.9697517666949e-10
23:34:28.890068,-1.3580546661198679e-10,0.6439857986204219,-0.0026201026869205257,-3.140013584339764,0.9348712751826328,0.0015785025289422109,3.4199071600951764e-10,2.690487294312871e-05,1.3424384683914659e-07,-5.883309305837058e-09,1.9170325340996108e-05,-2.34064819461076e-08,-6.458665368696833e-08,-48.75171278530775,-40.101118638548876,8.075638729114044e-08,0.0004367926580266444,9.163568632200917e-10
23:34:28.894587,-1.344943541184076e-10,0.6439858987684631,-0.002620102422626237,-3.1400135843622974,0.9348713464659754,0.0015785024417515185,3.146669984590051e-10,2.403552989919608e-05,6.343062929417553e-08,-5.408003558605843e-09,1.7108002207541495e-05,-2.0925766178062164e-08,-5.978509323607259e-08,-48.7516693652323,-40.10100610809454,8.093058604014569e-08,0.00043743343544495726,9.147195788451654e-10
23:34:28.899268,-1.3328902232358352e-10,0.6439859873277035,-0.0026201023987268324,-3.140013584383116,0.9348714097441787,0.001578502364208924,2.8927963075777795e-10,2.1254217690964278e-05,5.735857093111529e-09,-4.996414260148243e-09,1.5186768812253809e-05,-1.8610222699782348e-08,-5.575384884612747e-08,-48.75152425839946,-40.100802842318835,8.120360991453885e-08,0.00043827471933967046,8.922322985035428e-10
23:34:28.903861,-1.3217996032050253e-10,0.6439860648189767,-0.002620102567151484,-3.140013584402441,0.9348714656148882,0.0015785022956019412,2.661748807394386e-10,1.859790556918775e-05,-4.042191634710812e-08,-4.637998414293884e-09,1.3408970268823095e-05,-1.646567586451557e-08,-5.097168720867254e-08,-48.75129987419345,-40.1005303239079,8.15512179532411e-08,0.0004392623299177381,8.526784001883568e-10
23:34:28.908403,-1.3115895320897245e-10,0.643986131876462,-0.002620102885245094,-3.140013584420433,0.934871514672874,0.0015785022352358615,2.450417067672191e-10,1.609379647456513e-05,-7.634246638500708e-08,-4.318124098893849e-09,1.1773916576231225e-05,-1.448785916353891e-08,-4.669120228534716e-08,-48.75101591876917,-40.10020717131612,8.19661693681547e-08,0.0004403497273087111,8.039714398534454e-10
23:34:28.912901,-1.302182473384137e-10,0.6439861892138343,-0.002620103315805244,-3.1400135844372223,0.9348715575037347,0.0015785021824248492,2.2576940893410064e-10,1.3760969345834317e-05,-1.0333443597847214e-07,-4.0294049992708396e-09,1.0279406584341039e-05,-1.2674642952260722e-08,-4.2569479434554285e-08,-48.75068934766902,-40.09984939893919,8.241440391421525e-08,0.00044149972154629074,7.481283020818654e-10
23:34:28.917424,-1.2935269779929974e-10,0.6439862375956185,-0.002620103827133158,-3.1400135844529458,0.9348715946843166,0.0015785021364752004,2.077318893873487e-10,1.1611628196305651e-05,-1.2271869932051205e-07,-3.77365094612203e-09,8.923339634026722e-06,-1.102791570761145e-08,-3.9605800293887974e-08,-48.75033461227567,-40.09947056296513,8.285961843352657e-08,0.00044268471332396185,6.868967678058774e-10
23:34:28.922053,-1.2855617884977365e-10,0.6439862778121248,-0.0026201043922124976,-3.1400135844677033,0.934871626766817,0.001578502096722126,1.9116454788625926e-10,9.651961528717168e-06,-1.3561904151603021e-07,-3.541802092502631e-09,7.699800114790295e-06,-9.540737813052889e-09,-3.619633932353498e-08,-48.74996407775183,-40.099082088835125,8.33243379054535e-08,0.0004438707542255691,6.206243872680216e-10
