time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
15:03:28.973218,-1.1234195500485788e-10,0.643985804510511,-0.002620156992200349,-3.14001358465532,0.9348715769499302,0.0015785019429730815,-2.3416652821180455e-10,2.1058560614829747e-05,1.5295311782334564e-06,5.733941083612304e-10,8.97808614380366e-06,-5.504429726942378e-09,3.7666527793530145e-08,-48.74919058753207,-40.098683853005156,8.486556873991366e-08,0.00044562734936443,-4.969638373324307e-10
15:03:28.977752,-1.1321276352917665e-10,0.6439858853187832,-0.002620151430828156,-3.140013584652864,0.9348716110478591,0.0015785019217767532,-2.089940458365032e-10,1.939398533282871e-05,1.3347293263774734e-06,5.894006983356e-10,8.183502939414222e-06,-5.087118812005834e-09,3.390040566295602e-08,-48.74944363965323,-40.098871045921214,8.451811796419157e-08,0.000445224277699203,-3.4002613327973767e-10
15:03:28.983018,-1.1398809557777336e-10,0.6439859589217853,-0.002620146586479881,-3.140013584650449,0.9348716418238191,0.0015785019025777486,-1.860796916632103e-10,1.7664720507657578e-05,1.162643585963033e-06,5.795367411368156e-10,7.386230394673676e-06,-4.607761119299102e-09,3.028260665403331e-08,-48.749581009463405,-40.09895097994984,8.432295597631592e-08,0.00044509001601097616,-2.1431568714671924e-10
15:03:28.988154,-1.1467872000249729e-10,0.6439860252461913,-0.0026201423737640117,-3.140013584648203,0.9348716693407065,0.001578501885494927,-1.6574986193374475e-10,1.591785742627652e-05,1.0110518086255127e-06,5.390369797282559e-10,6.604052981262071e-06,-4.099877227367328e-09,2.612315184135058e-08,-48.74962220024074,-40.098942768091355,8.42076852566853e-08,0.00044518375783696303,-1.1768456469905837e-10
15:03:28.992999,-1.1529252250166404e-10,0.6439860843771021,-0.0026201387151777314,-3.1400135846461743,0.9348716937031162,0.0015785018705952723,-1.4731259980001914e-10,1.4191418594225458e-05,8.780607072336744e-07,4.868433326290535e-10,5.846978324106078e-06,-3.575917096272966e-09,2.3324010811190643e-08,-48.74958507666663,-40.09886360818123,8.422245947953994e-08,0.000445448640064101,-4.69949421679574e-11
15:03:28.997778,-1.158376770207651e-10,0.6439861365259647,-0.002620135541188953,-3.140013584644418,0.9348717150599131,0.00157850185786309,-1.3083708458425414e-10,1.2515727009970723e-05,7.617573067782157e-07,4.215560795777721e-10,5.12563125705523e-06,-3.0557237485116058e-09,2.042893844384986e-08,-48.7494854135168,-40.09872871856771,8.429142988060673e-08,0.0004458550346435209,5.370075079519329e-12
15:03:29.002554,-1.1632050057968184e-10,0.6439861820013462,-0.002620132789309175,-3.140013584642949,0.9348717335846226,0.001578501847242196,-1.1587765414001652e-10,1.0914091562137102e-05,6.604511466872659e-07,3.5256441693450806e-10,4.445930278502291e-06,-2.549014564832595e-09,1.839116248584415e-08,-48.74933723853299,-40.09855146256851,8.44327658820507e-08,0.0004463624935596898,4.0255261303669735e-11
15:03:29.007385,-1.167488836020877e-10,0.6439862211845963,-0.002620130404180766,-3.1400135846418014,0.9348717494777489,0.00157850183861493,-1.0281192537740712e-10,9.40398002337306e-06,5.724308181753041e-07,2.7545254657862744e-10,3.814350293770974e-06,-2.0705438489514e-09,1.564052536268712e-08,-48.74915266960988,-40.098343398986074,8.459462264544701e-08,0.00044694878308796146,6.245793883110997e-11
15:03:29.012173,-1.1712852721218532e-10,0.6439862545069873,-0.002620128335965032,-3.1400135846409425,0.9348717629423766,0.001578501831872295,-9.111446642343106e-11,7.997373862467932e-06,4.963717761801573e-07,2.061607800266259e-10,3.2315106486997813e-06,-1.6182324149709463e-09,1.3869171937566636e-08,-48.74894242658655,-40.09811452274979,8.482459893974103e-08,0.0004475773604444154,7.367913347612494e-11
15:03:29.016816,-1.1746457225214807e-10,0.6439862824331327,-0.002620126541520115,-3.1400135846403865,0.9348717741964314,0.0015785018268452279,-8.065080959106033e-11,6.702274884081566e-06,4.3066678003834957e-07,1.3343945809836345e-10,2.700973145138702e-06,-1.2064961052988383e-09,1.2321760829345085e-08,-48.74871538087016,-40.09787328731437,8.503679972579821e-08,0.00044823881743677403,7.668958569323462e-11
