time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
15:03:05.956018,-1.1608533270438939e-10,0.643986160098658,-0.002620125804380586,-3.1400135846433237,0.9348717247666791,0.0015785017917811974,-1.2059940535791972e-10,1.0880211409037416e-05,4.907829155593318e-07,2.080546374289352e-10,4.466578553810607e-06,-8.148355474244581e-10,1.8780225218137132e-08,-48.74906324757387,-40.09829689342522,8.498554973553158e-08,0.0004470223013473633,-3.60376003376583e-10
15:03:05.960828,-1.165325594131443e-10,0.6439861995232599,-0.0026201240564446547,-3.14001358464263,0.9348717408730064,0.0015785017895041389,-1.0733441010117523e-10,9.461904462982479e-06,4.195046235545147e-07,1.6650292144928906e-10,3.86551853337469e-06,-5.46494072597211e-10,1.5926670921271244e-08,-48.748921244850195,-40.09813035469407,8.507826512908804e-08,0.0004474984036680378,-2.9312583340761317e-10
15:03:05.965559,-1.1692988778488177e-10,0.6439862333981441,-0.0026201225638743317,-3.1400135846421335,0.9348717546569328,0.0015785017883118825,-9.535880921699274e-11,8.12997221738207e-06,3.582168775304734e-07,1.1917757080683045e-10,3.3081423456322867e-06,-2.8614152312780167e-10,1.4269661441356783e-08,-48.74874975066851,-40.09793912407675,8.521445641769563e-08,0.00044803223347245416,-2.435457434167263e-10
15:03:05.970251,-1.172811331163899e-10,0.6439862621226454,-0.002620121289826794,-3.140013584641826,0.934871766305682,0.0015785017881579698,-8.429887956194891e-11,6.893880307747707e-06,3.057714090363983e-07,7.38922542097909e-11,2.795699802611573e-06,-3.693905894190533e-11,1.3307768457757934e-08,-48.748557815940856,-40.0977316965836,8.539221225517312e-08,0.0004486009779392744,-2.0504722191967016e-10
15:03:05.975244,-1.1759233156417953e-10,0.6439862861202558,-0.002620120201924623,-3.1400135846417143,0.9348717760154378,0.0015785017889606518,-7.468762746950878e-11,5.7594264799842865e-06,2.610965210321503e-07,2.6791669099581914e-11,2.330341393911445e-06,1.926436417478512e-10,1.131672689397364e-08,-48.74835300144443,-40.09751512677615,8.557036516969641e-08,0.0004491927465230099,-1.7515935735544246e-10
15:03:05.979928,-1.1786935122678653e-10,0.6439863058253404,-0.0026201192715932264,-3.1400135846417916,0.934871783980688,0.0015785017906261027,-6.648471902567957e-11,4.729220310077664e-06,2.2327953514388044e-07,-1.8543161611376613e-11,1.91166004937654e-06,3.997082351044003e-10,9.360999133291814e-09,-48.74814177201335,-40.097295360980745,8.57655089013403e-08,0.0004497883376553759,-1.5440894873940628e-10
15:03:05.984648,-1.1811426005869593e-10,0.643986321673308,-0.0026201184746210884,-3.140013584642047,0.9348717903898724,0.0015785017930443227,-5.87781196582561e-11,3.803512227246869e-06,1.9127331307364215e-07,-6.123584035609936e-11,1.5382042473817414e-06,5.803727868707335e-10,9.080437069546232e-09,-48.747929445900795,-40.097077352016576,8.59652279459439e-08,0.00045037454057941036,-1.416519104419066e-10
15:03:05.989481,-1.1833210132101454e-10,0.6439863340907096,-0.0026201177894645093,-3.1400135846424626,0.9348717954262578,0.001578501796111406,-5.228190295646421e-11,2.9801763610851073e-06,1.644375790185726e-07,-9.981040555954047e-11,1.2087324761482499e-06,7.36100004890695e-10,7.422535871279471e-09,-48.747720368509626,-40.09686488654786,8.616412023007775e-08,0.00045094460560514865,-1.308096292213448e-10
15:03:05.994471,-1.1852424647563048e-10,0.6439863434893076,-0.002620117197817278,-3.140013584643,0.9348717992581385,0.001578501799732587,-4.6114837107827933e-11,2.2556635234927125e-06,1.4199533546720156e-07,-1.289293794339355e-10,9.196513798825912e-07,8.690834444924399e-10,7.378156210347502e-09,-48.747517957725,-40.09666108365231,8.637213194261723e-08,0.0004514854339532284,-1.25047103717207e-10
15:03:05.999329,-1.18695023968252e-10,0.6439863502608205,-0.002620116684078944,-3.140013584643656,0.9348718020514558,0.0015785018037941859,-4.098659822916433e-11,1.625163095687887e-06,1.2329720013894152e-07,-1.5745524635778782e-10,6.703961730469832e-07,9.747837640154342e-10,5.9544648818914274e-09,-48.74732477459713,-40.09646813388346,8.654496130507473e-08,0.0004520011720890491,-1.2002222725325948e-10
15:03:06.004355,-1.1884690007527814e-10,0.6439863547733349,-0.0026201162352821575,-3.1400135846444197,0.9348718039584821,0.001578501808185388,-3.645026568627583e-11,1.0830034391333399e-06,1.0771122881114703e-07,-1.832867766793974e-10,4.5768631731085696e-07,1.0538885127610244e-09,5.320684702297149e-09,-48.74714278368151,-40.09628771349589,8.671486948033504e-08,0.0004524808341830895,-1.196768468624154e-10
15:03:06.009263,-1.1898207867916603e-10,0.6439863573678853,-0.002620115840041435,-3.140013584645259,0.9348718051158209,0.0015785018128205313,-3.2442864933094517e-11,6.226921239436967e-07,9.485777345205615e-08,-2.0144216136946925e-10,2.7776129630022184e-07,1.1124344333275269e-09,4.766270051260202e-09,-48.74697341314975,-40.09612088838653,8.688592730014648e-08,0.00045292118166862807,-1.19066333415763e-10
15:03:06.014009,-1.1910198043321482e-10,0.6439863583576404,-0.0026201154889761817,-3.1400135846461494,0.9348718056477172,0.001578501817618076,-2.8776420971709904e-11,2.3754120623623032e-07,8.425566076081248e-08,-2.137085748945796e-10,1.2765511954448971e-07,1.1514107417211423e-09,4.5228509322379555e-09,-48.7468174463851,-40.095968264494346,8.703854083188583e-08,0.0004533231301174961,-1.1865414737392725e-10
15:03:06.018678,-1.192086131344017e-10,0.643986358027224,-0.0026201151745026243,-3.1400135846470847,0.9348718056694212,0.0015785018224928737,-2.559184828485039e-11,-7.929991788571678e-08,7.547365381971316e-08,-2.2442471131126204e-10,5.208958795549501e-09,1.1699514199505021e-09,3.973165440043246e-09,-48.74667530265637,-40.09583005160911,8.716595623154628e-08,0.000453688601814514,-1.184847837893152e-10
15:03:06.023372,-1.1930359155733538e-10,0.6439863566321183,-0.0026201148900629042,-3.1400135846480364,0.934871805280134,0.0015785018273846842,-2.279482150408241e-11,-3.348253786207567e-07,6.826553275787739e-08,-2.2844269801280872e-10,-9.342891378952278e-08,1.174034539203094e-09,3.564042366993103e-09,-48.746547108444894,-40.095706136716,8.729486873187265e-08,0.00045401331653928655,-1.183914535178549e-10
