time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
15:06:48.695563,-1.0839399081854694e-10,0.6439852847615444,-0.002620193200899117,-3.1400135846901573,0.934871383719987,0.001578502173848006,-3.5228903255702646e-10,3.21561761627738e-05,2.794254841226654e-06,1.0748294275957212e-09,1.3540886086033793e-05,-1.0895194038697026e-08,5.971371987058647e-08,-48.747733330506364,-40.09764586345601,8.650886687962586e-08,0.0004479990260009819,-8.350409230530128e-10
15:06:48.700358,-1.0970983840203316e-10,0.643985413232802,-0.0026201829845297273,-3.140013584685061,0.9348714370440885,0.0015785021298460155,-3.1580342003669127e-10,3.083310182218704e-05,2.451928653513999e-06,1.2231712014510853e-09,1.279778434859491e-05,-1.0560477688567528e-08,5.296831768247131e-08,-48.74871462461252,-40.098506160746076,8.533355407842778e-08,0.00044587534208284977,-5.28464270976324e-10
15:06:48.705239,-1.1088729755469483e-10,0.6439855346977117,-0.0026201740428779003,-3.1400135846796613,0.9348714868366618,0.00157850208801061,-2.825901966388029e-10,2.915157831342649e-05,2.1459964385083657e-06,1.295877654573156e-09,1.1950217587649442e-05,-1.0040497315829528e-08,4.674116428352843e-08,-48.74945384875091,-40.09913639395476,8.443491040375314e-08,0.00044434361985797797,-2.8051960990070017e-10
15:06:48.710226,-1.1193808470843016e-10,0.643985648093404,-0.0026201662360674704,-3.1400135846741977,0.934871532812319,0.00157850204891063,-2.521889168964778e-10,2.7214966158369686e-05,1.873634503171684e-06,1.311296109006145e-09,1.1034157742718237e-05,-9.383995192474614e-09,4.164077580900679e-08,-48.74998338189891,-40.09956876998487,8.379465658180393e-08,0.00044331619836726513,-8.528771157685043e-11
15:06:48.714815,-1.1287537073138389e-10,0.6439857527247145,-0.002620159435918716,-3.1400135846688895,0.9348715748220273,0.0015785020129114188,-2.249486455088937e-10,2.5111514521128364e-05,1.632035701035553e-06,1.2739452261858824e-09,1.0082329972245507e-05,-8.639810683157062e-09,3.609020788037793e-08,-48.75033337142249,-40.09983306492906,8.33421531172391e-08,0.0004427225620626141,6.537850537818356e-11
15:06:48.719626,-1.1370847647636482e-10,0.6439858482055995,-0.0026201535252334137,-3.1400135846638646,0.9348716128147173,0.0015785019802546888,-1.9994537879542445e-10,2.2915412383271716e-05,1.4185644725255714e-06,1.2059345495700274e-09,9.118245606336284e-06,-7.837615205387623e-09,3.244891058244039e-08,-48.750531784982265,-40.099956670961646,8.309974094264388e-08,0.0004424805951808835,1.7607068569060135e-10
15:06:48.724473,-1.1444821028257101e-10,0.6439859344062396,-0.0026201483971185135,-3.1400135846592283,0.9348716468301089,0.0015785019510534497,-1.7753611348948543e-10,2.068815364209345e-05,1.2307475760701264e-06,1.1126621315385617e-09,8.163693995665022e-06,-7.0082973936374106e-09,2.826853327787019e-08,-48.75060397153977,-40.09996426482373,8.299108789488984e-08,0.00044253476502010896,2.5723094482345435e-10
15:06:48.729054,-1.1510534109862322e-10,0.6439860114061426,-0.0026201439550127604,-3.1400135846550525,0.9348716769781107,0.0015785019253185463,-1.5771139585252747e-10,1.8479976733359188e-05,1.066105380717261e-06,1.0022086565149464e-09,7.235520425346448e-06,-6.176376803942584e-09,2.419487232569032e-08,-48.7505728225327,-40.09987807471037,8.300319738020874e-08,0.0004428254222695114,3.1095056785688577e-10
15:06:48.733877,-1.1568619949812605e-10,0.6439860794519919,-0.002620140112463834,-3.14001358465138,0.9348717034201417,0.0015785019029735776,-1.394060158806791e-10,1.6331003838954833e-05,9.222117424243642e-07,8.814128213510989e-10,6.346087445381621e-06,-5.362792527015118e-09,2.218813125294667e-08,-48.75045892277013,-40.09971795049657,8.311302153316997e-08,0.0004432991958123142,3.4034998902076635e-10
15:06:48.738730,-1.1620001532266832e-10,0.6439861389190454,-0.0026201367912240723,-3.1400135846482207,0.9348717263588754,0.0015785018838972865,-1.233157978901454e-10,1.4272092834326233e-05,7.970975427484817e-07,7.581778092377741e-10,5.505296077491784e-06,-4.578309861243525e-09,1.8922747400094437e-08,-48.75028046253285,-40.0995011595156,8.330211567027126e-08,0.0004439141139010948,3.554614891026188e-10
15:06:48.743280,-1.166535506293085e-10,0.6439861902801117,-0.002620133922154727,-3.1400135846455832,0.9348717460267282,0.001578501867903786,-1.0884847359363954e-10,1.2326655898179523e-05,6.885766429404194e-07,6.32973404156382e-10,4.72028467572716e-06,-3.838440115417946e-09,1.6780125158722353e-08,-48.75005324810469,-40.099242871528915,8.353712714464839e-08,0.00044463101683882376,3.541575364900404e-10
15:06:48.748206,-1.1705455180317914e-10,0.6439862340766935,-0.0026201314438905362,-3.1400135846434725,0.9348717626780999,0.0015785018547664932,-9.624028172895521e-11,1.0511179639884072e-05,5.947834057808132e-07,5.06593980222021e-10,3.99632921078974e-06,-3.152950253868512e-09,1.4191261302620287e-08,-48.749791084818206,-40.098956044510004,8.380470947992259e-08,0.00044541838224571327,3.4202555301413504e-10
15:06:48.753136,-1.1740699104965908e-10,0.6439862708942724,-0.002620129301707337,-3.140013584641826,0.9348717765661664,0.001578501844276405,-8.45854191551875e-11,8.836218934833717e-06,5.141239678221887e-07,3.9525145617452556e-10,3.333135961711836e-06,-2.517621159955235e-09,1.3298650596751182e-08,-48.74950590811777,-40.09865180189711,8.413663508203484e-08,0.0004462380403190699,3.217187798900689e-10
15:06:48.758230,-1.1771741076825314e-10,0.6439863013432294,-0.002620127447827011,-3.140013584640631,0.9348717879582644,0.0015785018361770809,-7.450073246257443e-11,7.307749682664705e-06,4.4493127825985523e-07,2.867154666016578e-10,2.7341035396220847e-06,-1.9438378152518724e-09,1.1216156695830998e-08,-48.7492075097965,-40.09833931119382,8.444150196475618e-08,0.00044708143665666807,2.979030696874711e-10
15:06:48.762921,-1.179904727735863e-10,0.6439863260416244,-0.0026201258404504684,-3.1400135846398465,0.9348717971147453,0.001578501830218601,-6.553488127995747e-11,5.927614799082492e-06,3.8577037022625993e-07,1.8836536587043076e-10,2.1975554265786512e-06,-1.4300351565074438e-09,9.944049931151331e-09,-48.74890426532222,-40.098026238860975,8.477045707797895e-08,0.0004479188841806376,2.6771078516728837e-10
