step,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,tau_meas_0,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_no_contact_0,tau_no_contact_1,tau_no_contact_2,tau_no_contact_3,tau_no_contact_4,tau_no_contact_5,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,F_ee_x,F_ee_y,F_ee_z
10,-1.1859228950746887e-10,0.643986353500283,-0.0026201173454383233,-3.1400135846473822,0.9348718039811434,0.0015785018018765421,-4.3721119289480345e-11,1.6691766664793384e-06,1.3877893166418243e-07,-4.280988195163346e-11,6.654409310767606e-07,9.67382492030554e-10,1.1715457967406797e-09,-0.00013537529424789696,-4.11183291873507e-06,-8.624366069117772e-09,-5.267059681818287e-05,2.1736890328059172e-08,6.21804285623468e-09,-48.74738259733848,-40.096522444450834,8.64395358587803e-08,0.00045186637182068095,-9.582051106060952e-11,6.943971539483185e-09,-48.747234638248784,-40.09633784832095,8.663524825940507e-08,0.0004523631080288503,-9.867247018695519e-11,7.259286832485055e-10,0.00014795908969489346,0.0001845961298840848,1.9571240062477105e-10,4.967362081693548e-07,-2.8519591263456688e-12,-7.595949950654802e-05,5.2092006347316446e-11,-5.7405505135132e-05
11,-1.1875412150109273e-10,0.6439863581049202,-0.002620116838578763,-3.1400135846477104,0.9348718058393939,0.0015785018062846792,-3.883967846972751e-11,1.1051129404464344e-06,1.216462945027863e-07,-7.874474057295751e-11,4.4598011100099866e-07,1.0579528683974672e-09,1.0284092055449348e-09,-0.0001148361384825658,-3.4312272323422377e-06,-7.816084568305383e-09,-4.4284155009677306e-05,1.5421516814202382e-08,5.8386245136867335e-09,-48.74719225929444,-40.09633377976715,8.663547059609875e-08,0.00045236467952278724,-9.824871424726638e-11,6.15628290665308e-09,-48.74704320223855,-40.09616286370553,8.680240553752192e-08,0.00045282576216454894,-1.007087501389822e-10,3.1765839296634617e-10,0.00014905705588574847,0.00017091606162011885,1.6693494142316512e-10,4.610826417617009e-07,-2.4600358917158202e-12,-5.568511149050037e-05,-7.744538502521287e-11,-6.516807986215973e-05
12,-1.1889809916823144e-10,0.6439863607158746,-0.0026201163912891196,-3.140013584648174,0.9348718069288222,0.0015785018109605508,-3.4554640113290285e-11,6.266290301024102e-07,1.0734951436802698e-07,-1.1131175960756327e-10,2.6146279846067655e-07,1.1222091884566438e-09,1.0027648916211222e-09,-9.601120334767899e-05,-2.849379374947336e-06,-5.285165578295704e-09,-3.701169018682782e-05,1.08007122012364e-08,5.1741310448106395e-09,-48.74701513461224,-40.09615941493826,8.68024519685404e-08,0.00045282683270322216,-1.003014399744835e-10,6.267326534638784e-09,-48.746868103414485,-40.09600292858512,8.697634237040561e-08,0.00045324376267199314,-1.0343444590875044e-10,1.0931954898281448e-09,0.00014703119775560936,0.00015648635314136072,1.738904018652098e-10,4.169299687709809e-07,-3.133005934266939e-12,-3.816309913921355e-05,4.513253648032959e-10,-7.018543941686197e-05
13,-1.190246677226684e-10,0.6439863616599677,-0.0026201159934678684,-3.1400135846487296,0.9348718073756864,0.0015785018158239348,-3.037645306486894e-11,2.2658234948708111e-07,9.547710030574641e-08,-1.3333328285046204e-10,1.0724742268222731e-07,1.1672121559617955e-09,7.979251221244138e-10,-7.892352037325301e-05,-2.3599360911286116e-06,-4.5999733603902145e-09,-3.0101163794871155e-05,5.839345371171437e-09,5.393327169453979e-09,-48.74685217572096,-40.09599999956914,8.697624165373886e-08,0.0004532444092515149,-1.0304392081905416e-10,4.933233987362535e-09,-48.746709483176666,-40.095858145672175,8.711315605317716e-08,0.0004536257196321495,-1.0407806428303201e-10,-4.600931820914442e-10,0.00014269254429422062,0.00014185389696308448,1.3691439943829375e-10,3.8131038063458694e-07,-1.0341434639778477e-12,-2.3171514554625222e-05,-3.558758099135844e-10,-7.299586904777626e-05
14,-1.191373834104018e-10,0.6439863612338608,-0.00262011563661773,-3.140013584649365,0.934871807299961,0.0015785018207886963,-2.7051765056017218e-11,-1.0226565206813976e-07,8.56440332593772e-08,-1.524998385187546e-10,-1.8174093129735835e-08,1.1915427616750098e-09,6.240132097391356e-10,-6.355788359613257e-05,-1.9626241007375533e-06,-4.01735828441498e-09,-2.393036273640181e-05,1.0809699115639157e-09,4.164731945025383e-09,-48.74670370530618,-40.095855649157464,8.711293824020115e-08,0.0004536260118522444,-1.0370477847407114e-10,3.8108531975046555e-09,-48.74656720643918,-40.09572838737587,8.723640295140329e-08,0.00045396751404891005,-1.0681751590346877e-10,-3.5387874752072757e-10,0.00013649886700051184,0.00012726178159283563,1.2346471120214448e-10,3.415021966656569e-07,-3.1127374293976367e-12,-1.0486453997327118e-05,-2.3247472063982633e-10,-7.393951150927193e-05
15,-1.1923926553546612e-10,0.6439863597043184,-0.0026201153138409265,-3.1400135846500703,0.9348718068087779,0.0015785018257722246,-2.4451710015437486e-11,-3.6709016705202546e-07,7.746643283963739e-08,-1.6923883137048368e-10,-1.1788393786474338e-07,1.1960468029731928e-09,6.352234516585282e-10,-4.9910297872934883e-05,-1.626950599659116e-06,-1.9090915062995248e-09,-1.8836316061088265e-05,-2.0718091337575822e-09,3.126290500039631e-09,-48.74656977199061,-40.09572624825475,8.723609135051015e-08,0.00045396751554034143,-1.0646157661368105e-10,4.122186187041398e-09,-48.746440991257096,-40.095613339527155,8.736430999524032e-08,0.0004542660096310026,-1.0934796833436205e-10,9.958956870017667e-10,0.00012878073351174635,0.00011290872759417425,1.282186447301752e-10,2.9849409066115594e-07,-2.8863917206809988e-12,1.8110769461438322e-08,5.859524662623228e-10,-7.32487111564884e-05
16,-1.193301194756058e-10,0.6439863573082778,-0.002620115019309793,-3.140013584650809,0.9348718059905754,0.0015785018307197841,-2.1804945633526952e-11,-5.750497415225875e-07,7.06874720077244e-08,-1.7719337931339837e-10,-1.9636858811927782e-07,1.1874142649158695e-09,5.685142063219469e-10,-3.788353244188469e-05,-1.3706864418483455e-06,-1.0864450761564545e-09,-1.4183135580159156e-05,-5.1810284610719765e-09,3.5032643711524797e-09,-48.74645027593189,-40.095611494786226,8.736392265705076e-08,0.000454265777361941,-1.0900983184292417e-10,3.791211643145631e-09,-48.74633009215929,-40.095512346844096,8.746262053978291e-08,0.00045452992225617,-1.0915265541408581e-10,2.879472719931513e-10,0.00012018377260147872,9.91479421301733e-05,9.869788273214918e-11,2.6414489422897603e-07,-1.4282357116164087e-13,8.633135345145478e-06,2.259131748317232e-10,-7.139231504705745e-05
17,-1.194111033774413e-10,0.643986354254537,-0.002620114748575299,-3.140013584651566,0.934871804926138,0.0015785018355773952,-1.943613644051884e-11,-7.328977933637737e-07,6.497627850002297e-08,-1.817202337973836e-10,-2.5546498636994097e-07,1.1658266463280696e-09,4.851095198583376e-10,-2.742483097784021e-05,-1.1581900580259763e-06,-8.305617099028245e-10,-1.007061802615894e-05,-8.230838774219915e-09,3.2391456418960365e-09,-48.74634465329841,-40.09551074233671,8.746218036999119e-08,0.00045452950600350327,-1.0883274346171295e-10,3.301045974427009e-09,-48.74623374054233,-40.09542464432588,8.75425356465998e-08,0.00045475983093425993,-1.0931181295344672e-10,6.190033253097248e-11,0.00011091275607810758,8.609801082570812e-05,8.035527660861655e-11,2.3032493075666105e-07,-4.790694917337681e-13,1.5446011611136786e-05,1.3045721310677143e-10,-6.851815958193179e-05
18,-1.1948366523900148e-10,0.6439863507246707,-0.002620114497948272,-3.1400135846523374,0.9348718036868634,0.0015785018402921097,-1.7414846774442433e-11,-8.471679224381079e-07,6.01504865915814e-08,-1.8518090758864536e-10,-2.974258948122699e-07,1.13153148476882e-09,4.523727301331452e-10,-1.8434087639684904e-05,-9.840659050130984e-07,4.066659061905363e-10,-6.747988104960356e-06,-1.0064429327373732e-08,2.808830422038071e-09,-48.746252306874084,-40.095423236515316,8.7542061560132e-08,0.0004547592747309786,-1.0901009307875425e-10,3.188673909861218e-09,-48.746150990388195,-40.09534936185906,8.76226371965515e-08,0.000454954662913962,-1.0906414415572476e-10,3.7984348782314667e-10,0.00010131648588895814,7.387465625896539e-05,8.057563641950794e-11,1.953881829834048e-07,-5.405107697050817e-14,2.0720676285692565e-05,3.36311794941189e-10,-6.491768765917483e-05
19,-1.1954837340733018e-10,0.6439863468747681,-0.002620114264405722,-3.140013584653102,0.9348718023304363,0.0015785018448320946,-1.5529960398887662e-11,-9.23976620936795e-07,5.6050211987360155e-08,-1.8348646631285146e-10,-3.2554251191627137e-07,1.0895963625714294e-09,3.8516595572008853e-10,-1.0811157042933672e-05,-8.359145729774919e-07,1.3491453372776845e-09,-3.916544392967847e-06,-1.1361578500929115e-08,2.7475398480610346e-09,-48.746172456404494,-40.09534811397912,8.762214003361877e-08,0.0004549540051410216,-1.0878064290081991e-10,2.7834831786981866e-09,-48.746080828776925,-40.09528555256478,8.768766954926519e-08,0.0004551199216312581,-1.0675476765924626e-10,3.594333063715192e-11,9.162762756886877e-05,6.256141433880202e-05,6.552951564641507e-11,1.659164902365084e-07,2.025875241573647e-12,2.462170346420355e-05,1.5919619839228644e-10,-6.078071072016902e-05
20,-1.1960639466670542e-10,0.6439863428371718,-0.0026201140453755776,-3.1400135846538433,0.9348718009060136,0.0015785018491748298,-1.392510225005396e-11,-9.690231086156853e-07,5.256723459995394e-08,-1.7786502740752778e-10,-3.4186144688697073e-07,1.0422564521508915e-09,3.517045046132745e-10,-4.417674693557583e-06,-7.310286742612249e-07,1.889464719938023e-09,-1.554004586679092e-06,-1.2570929045440347e-08,2.3900025373277554e-09,-48.74610424414861,-40.095284433914124,8.768715954322191e-08,0.00045511919483462785,-1.0648944374078959e-10,2.622482425590158e-09,-48.7460221454968,-40.095232237017,8.773857708430166e-08,0.0004552578300299448,-1.0452849132543956e-10,2.3247988826240262e-10,8.209865180930365e-05,5.2196897122769315e-05,5.141754107974534e-11,1.3863519531697637e-07,1.9609524153500353e-12,2.7403343923768613e-05,2.8325641638282054e-10,-5.634057667797218e-05
21,-1.1965830994509777e-10,0.6439863387228798,-0.0026201138390369036,-3.1400135846545516,0.9348717994546117,0.0015785018532993198,-1.2459666814165316e-11,-9.874300865055086e-07,4.952128179053217e-08,-1.6999225774111935e-10,-3.483364659981336e-07,9.898775811282234e-10,2.955689787362335e-10,8.686964622639515e-07,-6.717208680950826e-07,1.0412411444128342e-09,6.215081274629775e-07,-1.4455613919425736e-08,2.26958768053993e-09,-48.746046704472775,-40.09523122151007,8.773806643639937e-08,0.0004552570618339555,-1.0428095986925553e-10,2.261932150442489e-09,-48.7459738481651,-40.095188423781366,8.776511923350557e-08,0.00045537372370961775,-1.0245264187536422e-10,-7.655530097441147e-12,7.285630767484008e-05,4.2797728703192206e-05,2.7052797106199087e-11,1.1666187566222556e-07,1.8283179938913165e-12,2.9195383130638574e-05,1.5429665498159799e-10,-5.1714846194453714e-05
22,-1.1970509381760928e-10,0.6439863346236693,-0.00262011364436005,-3.1400135846552417,0.9348717980139999,0.0015785018571728442,-1.1228129402764343e-11,-9.83810517912742e-07,4.672244484013599e-08,-1.6565375297273254e-10,-3.457468488003712e-07,9.296458564639495e-10,2.7046985303941245e-10,5.092330695455338e-06,-5.879545979248224e-07,2.5189997955371232e-09,1.9966614012156825e-06,-1.4225712391922885e-08,1.946109372729895e-09,-48.74599887497469,-40.095187491587524,8.776462145671596e-08,0.0004553729371847123,-1.0222253183533923e-10,2.136027550688051e-09,-48.74593497141393,-40.095153115118805,8.781090918516105e-08,0.00045546280546057076,-9.945879953789024e-11,1.899181779581562e-10,6.390356075769432e-05,3.437646871873312e-05,4.6287728445086846e-11,8.986827585843061e-08,2.763732297448986e-12,2.9987609952778677e-05,2.695621558135514e-10,-4.69023406402667e-05
23,-1.1974718203294998e-10,0.6439863306128673,-0.0026201134598907417,-3.1400135846558883,0.9348717966080523,0.0015785018607993944,-1.0101171681766791e-11,-9.625924733483449e-07,4.427263401544923e-08,-1.5515792049132786e-10,-3.3742742629530587e-07,8.703720548309374e-10,1.616664740494843e-10,8.444947006691628e-06,-5.447059986396496e-07,1.9411368419228713e-09,3.3771702825924343e-06,-1.495142066306864e-08,1.8513721385235901e-09,-48.74595990734142,-40.095152252738316,8.781042742874156e-08,0.00045546202001003064,-9.92457649828725e-11,1.3318103382622667e-09,-48.74590430064043,-40.09512531732549,8.782478897308076e-08,0.0004555362653857897,-9.512478146567013e-11,-5.195618002613235e-10,5.5606700989585534e-05,2.6935412826389893e-05,1.4361544339200663e-11,7.424537575907199e-08,4.120983517202368e-12,3.0215928304030482e-05,-1.3380173127097847e-10,-4.226370648861755e-05
24,-1.1978646353867176e-10,0.643986326748679,-0.002620113284878135,-3.140013584656501,0.9348717952607362,0.0015785018641663714,-9.427561373227273e-12,-9.274051941537964e-07,4.2003025687784024e-08,-1.4706985031664923e-10,-3.233558834511707e-07,8.080744687348181e-10,2.3048990496679448e-10,1.0999670401190542e-05,-5.155645418919441e-07,2.415343442830134e-09,4.180872057724105e-06,-1.500555833885628e-08,1.0756864199919712e-09,-48.7459286992419,-40.09512451012841,8.782432561955175e-08,0.0004555354959437233,-9.492832342358492e-11,1.91588487143782e-09,-48.74588096783468,-40.0951041993037,8.784647014726213e-08,0.00045558914376215453,-9.246967664146205e-11,8.401984514458488e-10,4.773140722136304e-05,2.0310824709213193e-05,2.2144527710384956e-11,5.36478184312442e-08,2.4586467821228736e-12,2.9828093421357523e-05,6.352097437319548e-10,-3.7648411016285205e-05
25,-1.1982174348354343e-10,0.6439863230754571,-0.0026201131188163013,-3.140013584657072,0.9348717939860046,0.0015785018672728353,-8.467186769198963e-12,-8.815732341488358e-07,3.985484009656759e-08,-1.37005919304857e-10,-3.059355832106536e-07,7.455513089895836e-10,1.7921708055591453e-10,1.2859451270497146e-05,-4.931431454857638e-07,2.035860383270763e-09,4.9405998026053055e-06,-1.5077882432185108e-08,1.676820634405474e-09,-48.745904474765,-40.09510343813283,8.784603257491859e-08,0.00045558840265747707,-9.228907270752602e-11,1.5435078330066529e-09,-48.745863972490774,-40.09508883538426,8.785171496149938e-08,0.0004556296021612662,-8.741525906125394e-11,-1.3331280139882103e-10,4.050227422425223e-05,1.4602748571235225e-05,5.68238658079933e-12,4.1199503789134985e-08,4.873813646272079e-12,2.8953734602687693e-05,7.682625881495243e-11,-3.3228905477651776e-05
26,-1.1985391202076656e-10,0.6439863196254897,-0.0026201129613159803,-3.1400135846576074,0.9348717927970474,0.0015785018701175303,-7.720448933549319e-12,-8.27992187188431e-07,3.780007699037691e-08,-1.285231677078955e-10,-2.853497506997982e-07,6.82726798855479e-10,1.7953162583218402e-10,1.410028175552469e-05,-4.5524628025650493e-07,3.145620585298832e-09,5.169406764315987e-06,-1.3927881688138681e-08,1.3287743060765059e-09,-48.74588631774154,-40.09508811366577,8.785130390119926e-08,0.0004556288982893574,-8.725006675648935e-11,1.5706587617580463e-09,-48.745852453762254,-40.09507840839439,8.786998818417134e-08,0.0004556537433788952,-8.259534117526476e-11,2.4188445568154046e-10,3.386397928295537e-05,9.705271374116364e-06,1.868428297208209e-11,2.484508953778941e-08,4.654725581224595e-12,2.7676479654710726e-05,2.826416501899528e-10,-2.9004015045475833e-05
27,-1.1988296368948566e-10,0.6439863164203188,-0.002620112811719241,-3.1400135846580883,0.9348717916978367,0.0015785018727204217,-6.9724004925818854e-12,-7.692410132070782e-07,3.590321748930814e-08,-1.1541641526915036e-10,-2.6381055584848156e-07,6.246939584882345e-10,1.605657319705169e-10,1.4864965237060268e-05,-4.49746804381812e-07,2.595414235091742e-09,5.482870302775389e-06,-1.3742088209554859e-08,1.3748499182068814e-09,-48.74587344077149,-40.095077721214544,8.786960719683276e-08,0.00045565308356101426,-8.244471813790179e-11,1.4344681928094723e-09,-48.745845502559945,-40.095072173976746,8.78647817108294e-08,0.00045567009073909585,-7.727059264589429e-11,5.961827460259091e-11,2.7938211545119884e-05,5.54723779799815e-06,-4.8254860033575935e-12,1.700717808158494e-08,5.174125492007497e-12,2.6238152243647846e-05,1.7063004963696767e-10,-2.512718375776909e-05
28,-1.1990922775869138e-10,0.6439863134732202,-0.0026201126699306057,-3.140013584658524,0.9348717906938148,0.0015785018750847353,-6.303376609371398e-12,-7.073036580526604e-07,3.402927247105059e-08,-1.0460218928960143e-10,-2.409652629202508e-07,5.674352576150892e-10,1.5185536372522892e-10,1.5196320258814566e-05,-4.384636233256689e-07,2.7639259923741694e-09,5.525669362071994e-06,-1.3000436461401733e-08,1.2576221101227293e-09,-48.74586500015252,-40.095071515633656,8.78644334617211e-08,0.00045566947907179126,-7.713373555289364e-11,1.3741343854763755e-09,-48.74584242476851,-40.095069437113935,8.786546621542215e-08,0.00045567609402129473,-7.248958988998757e-11,1.1651227535364613e-10,2.2575384008405308e-05,2.0785197207828787e-06,1.0327537010583438e-12,6.614949503468744e-09,4.644145662906063e-12,2.4530398993937218e-05,1.9364612812436876e-10,-2.147597281477984e-05
29,-1.1993285545005464e-10,0.6439863107899466,-0.002620112535754186,-3.1400135846589117,0.9348717897857246,0.0015785018772233469,-5.6706459271829445e-12,-6.439856569742664e-07,3.220234070719363e-08,-9.30858309880424e-11,-2.1794164057828413e-07,5.132667723592487e-10,1.0550130541589154e-10,1.5185303199050093e-05,-4.362284325432064e-07,1.60611608973453e-09,5.688169161521817e-06,-1.3125212702173698e-08,1.214250526433141e-09,-48.74586035212933,-40.095068805980326,8.786514852085602e-08,0.00045567553329710765,-7.236561123032974e-11,1.008940122655768e-09,-48.74584251306395,-40.09506957967328,8.784830090778898e-08,0.0004556775234938362,-6.785654860532065e-11,-2.0531040377737311e-10,1.783906537866642e-05,-7.736929532597969e-07,-1.684761306704871e-11,1.990196728555646e-09,4.509062625009096e-12,2.2728213536246692e-05,8.505975837688664e-13,-1.814753588705213e-05
30,-1.1995465152153222e-10,0.6439863083703068,-0.002620112409151177,-3.140013584659272,0.9348717889763873,0.0015785018791340901,-5.23105715461673e-12,-5.807135603115576e-07,3.0384722238263606e-08,-8.639368061414852e-11,-1.942409357386099e-07,4.585783861001916e-10,1.2335928874605315e-10,1.4874973238154787e-05,-4.186885954604591e-07,2.464483500087822e-09,5.375726050138585e-06,-1.1793570474046867e-08,8.651044489538209e-10,-48.74585883516212,-40.095068974103654,8.784801475883725e-08,0.00045567701477546377,-6.774465156784129e-11,1.1497146496091567e-09,-48.745845188636736,-40.09507203804396,8.785306799923395e-08,0.00045566870834689124,-6.361593945053021e-11,2.846102006553359e-10,1.3646525381716401e-05,-3.0639403050258807e-06,5.053240396698096e-12,-8.306428572529487e-09,4.1287121173110736e-12,2.0810647633312486e-05,2.690646734126149e-10,-1.5088257072381071e-05
