time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
10:42:31.559117,-1.1715314824851492e-10,0.6439862755192516,-0.0026201281996728848,-3.1400135846280617,0.9348717682356038,0.0015785017586725776,-8.73575330813805e-11,6.560311579022204e-06,4.774823902861658e-07,-3.1964415523352916e-10,2.7434023706779387e-06,7.463426427239636e-10,1.3009176208684166e-08,-48.74856864346691,-40.09773612316963,8.562948459667476e-08,0.0004485634682121122,-3.85021019772194e-10
10:42:31.564165,-1.1747588462527626e-10,0.6439862981985187,-0.002620126463289924,-3.140013584629412,0.9348717777259677,0.0015785017624465759,-7.745673042272318e-11,5.443024119127643e-06,4.167319105578132e-07,-3.241460376886751e-10,2.2776873393783037e-06,9.057595669450863e-10,1.1701476672744642e-08,-48.748355926927566,-40.097512468658664,8.58081373279451e-08,0.00044917295797833556,-3.392118433656437e-10
10:42:31.569246,-1.1776196255996767e-10,0.6439863166629056,-0.0026201249455359912,-3.1400135846308093,0.9348717854770647,0.001578501766800809,-6.86587043259371e-11,4.431452866250629e-06,3.6426094391327213e-07,-3.352957979419293e-10,1.860263275626356e-06,1.0450159606674946e-09,1.0346951533092984e-08,-48.748138265133136,-40.09728708296128,8.597353668230056e-08,0.00044978686563458553,-3.03095477613146e-10
10:42:31.574347,-1.18016414396935e-10,0.6439863313507361,-0.002620123615660616,-3.140013584632242,0.9348717916804019,0.0015785017716640668,-6.106844087216368e-11,3.5250793113048018e-06,3.191700900448402e-07,-3.4385473375570354e-10,1.488800934520973e-06,1.167181893168656e-09,8.75568586702958e-09,-48.74792085160484,-40.097064607948084,8.616582156666744e-08,0.00045038661730133125,-2.745048033706536e-10
10:42:31.579127,-1.1824161814970856e-10,0.6439863426910484,-0.0026201224475113807,-3.140013584633706,0.9348717965198611,0.0015785017769484309,-5.4048900665654465e-11,2.7216749446980215e-06,2.8035581647704866e-07,-3.5140827406846724e-10,1.1614701893487844e-06,1.268247396878986e-09,8.31524072927066e-09,-48.74770780623116,-40.09684886536503,8.635062914753181e-08,0.000450965590772618,-2.5259713091758067e-10
10:42:31.584090,-1.1844191219825082e-10,0.6439863510958309,-0.0026201214178607234,-3.140013584635199,0.9348718001716703,0.0015785017825645769,-4.807057165013896e-11,2.017147815284309e-06,2.4711615777620044e-07,-3.5833744348865077e-10,8.764341939242193e-07,1.3478750596188538e-09,6.946231552430566e-09,-48.74750243586889,-40.09664264820089,8.65269750817019e-08,0.0004515184803765204,-2.341957920623552e-10
10:42:31.588583,-1.1862030376486457e-10,0.643986356956212,-0.0026201205071206056,-3.140013584636721,0.9348718028011894,0.0015785017884162437,-4.2813975987300244e-11,1.4064914598162226e-06,2.185776282644103e-07,-3.652968581819443e-10,6.310845923652997e-07,1.404400042446911e-09,6.125430117866522e-09,-48.74730716643035,-40.09644814531664,8.669359835094099e-08,0.00045203850141979955,-2.2100239061090438e-10
10:42:31.593216,-1.1877875471814877e-10,0.6439863606378515,-0.0026201196980262798,-3.1400135846382433,0.934871804556449,0.001578501794432068,-3.802822878820387e-11,8.835934834500181e-07,1.9418263817912174e-07,-3.653834799453089e-10,4.212622927053655e-07,1.4437978225901715e-09,5.73523759946776e-09,-48.747123906855926,-40.09626685388436,8.686838195246217e-08,0.00045251860423414905,-2.0983473433366175e-10
10:42:31.597818,-1.1891820419529177e-10,0.6439863624794339,-0.0026201189761844356,-3.1400135846397537,0.9348718055748031,0.0015785018005351696,-3.346787451432011e-11,4.419797505518519e-07,1.7324204258477305e-07,-3.6250375334015645e-10,2.44404976788154e-07,1.464744343725882e-09,5.764611903527706e-09,-48.74695384711211,-40.09609977229965,8.701970626148196e-08,0.0004529611206316005,-2.000267626789082e-10
10:42:31.602367,-1.1904236441247708e-10,0.6439863627905151,-0.002620118328903468,-3.1400135846412467,0.9348718059838099,0.0015785018066537659,-2.97984521244715e-11,7.465950187940384e-08,1.553474321628473e-07,-3.5835436078303904e-10,9.816162908557469e-08,1.4684630942463474e-09,4.498995471622454e-09,-48.74679771715969,-40.09594730387195,8.715302802637957e-08,0.00045336614553421393,-1.9073060537291032e-10
