time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,torq_0,torq_1,torq_2,torq_3,torq_4,torq_5
10:42:39.097029,-1.1591468690634754e-10,0.6439861118477964,-0.002620138440967993,-3.1400135846412067,0.9348717032568266,0.0015785018355243363,-1.2755906935091646e-10,1.1996151594178411e-05,8.501385786105486e-07,1.504017915730251e-10,5.019774982472497e-06,-1.9475207529008436e-09,1.9263262260816614e-08,-48.7489583317779,-40.09823442614638,8.507943665691035e-08,0.0004471121266464937,-3.068660108062025e-10
10:42:39.105830,-1.1638613222192168e-10,0.6439861560694423,-0.0026201353523522745,-3.140013584640652,0.9348717216482024,0.0015785018287402665,-1.1314687573779134e-10,1.0613195009268744e-05,7.4126777247982e-07,1.3316497561829716e-10,4.413930210115519e-06,-1.62817674116976e-09,1.7990258436361332e-08,-48.748890732629704,-40.098136323457766,8.510845504118582e-08,0.00044741309330220924,-2.3495897566053005e-10
10:42:39.110647,-1.168057645021263e-10,0.6439861947569047,-0.0026201326607669093,-3.140013584640238,0.9348717376607394,0.0015785018232770927,-1.0071174724911026e-10,9.284990957144496e-06,6.459804876013386e-07,9.932764080498998e-11,3.843008861369873e-06,-1.3111617144659707e-09,1.4957017674638265e-08,-48.74877986440723,-40.09800016440839,8.516070425946532e-08,0.00044781449019646306,-1.7769543800126515e-10
10:42:39.118515,-1.171766686546861e-10,0.6439862282035997,-0.0026201303152893225,-3.140013584639959,0.9348717514452969,0.001578501819119468,-8.90169966143469e-11,8.027206822986549e-06,5.629146208416952e-07,6.704231259569934e-11,3.308293798687245e-06,-9.978299341783787e-10,1.4255335182371794e-08,-48.74863632573277,-40.09783600327547,8.529753137570522e-08,0.0004482748845131339,-1.3745282415315632e-10
10:42:39.123894,-1.1750682924408667e-10,0.643986256750448,-0.0026201282707944027,-3.140013584639848,0.9348717631764258,0.0015785018161960916,-7.923854145613684e-11,6.85124358308295e-06,4.906787807058138e-07,2.6652431404586155e-11,2.815470944644155e-06,-7.016103262876428e-10,1.1332060767797652e-08,-48.748469012871,-40.09765229292798,8.542722522475822e-08,0.00044878919993912055,-1.0469682605763776e-10
10:42:39.128979,-1.1779940650926789e-10,0.6439862807698109,-0.0026201264876002522,-3.140013584639912,0.9348717730298116,0.0015785018144119738,-7.02185436434902e-11,5.764647109957749e-06,4.2796659612855115e-07,-1.542065819587729e-11,2.364812590152643e-06,-4.2818827862323204e-10,1.0560002497879776e-08,-48.74828585288112,-40.09745647967506,8.559306411284889e-08,0.00044932707995586524,-8.593322281030953e-11
10:42:39.134014,-1.1805787463021865e-10,0.6439863006512699,-0.0026201249302258284,-3.140013584640128,0.9348717811796056,0.0015785018136813128,-6.203234902818558e-11,4.771550164255067e-06,3.7376986173134896e-07,-5.178868758262591e-11,1.955950560020986e-06,-1.753586551141162e-10,9.63451875401366e-09,-48.748093472877926,-40.09725464068363,8.578637824652542e-08,0.00044987456395606214,-7.156467628821009e-11
10:42:39.139164,-1.1828602719449707e-10,0.6439863167915599,-0.002620123567973193,-3.140013584640498,0.9348717878033455,0.0015785018138866891,-5.475661542682048e-11,3.873669607339786e-06,3.269406325355495e-07,-8.878772031289082e-11,1.5896975829564342e-06,4.9290322826989544e-11,8.532091332728437e-09,-48.747897277008306,-40.09705184279863,8.596461562073605e-08,0.000450424431499008,-6.279738542765203e-11
10:42:39.143979,-1.1848880888152956e-10,0.6439863295844864,-0.002620122373558228,-3.1400135846410135,0.9348717930737496,0.001578501814911019,-4.8667604887799547e-11,3.070302363027827e-06,2.866595915709813e-07,-1.2370996752564538e-10,1.2648969847962876e-06,2.458391868304403e-10,6.8729801210548436e-09,-48.74770183097367,-40.096852146713644,8.614958014791129e-08,0.00045096319245168504,-5.871670319302776e-11
10:42:39.148855,-1.1866707211272833e-10,0.6439863394143343,-0.0026201213235142605,-3.140013584641644,0.9348717971506391,0.0015785018166448832,-4.2783175487706423e-11,2.3591634761496727e-06,2.520105522353655e-07,-1.5133774082813547e-10,9.784534728898842e-07,4.1612739323820163e-10,7.024198554615006e-09,-48.74751078056462,-40.09665889790286,8.63453799362933e-08,0.0004514784833956458,-5.934968622340421e-11
